priority,relationship,company_name,company_number,avatar,avatar_reason,trade_or_sic,region,incorporated,accounts_filing_category,registered_address,postcode,companies_house_url,source,notes
1 — WARM (contact first),warm — existing KEYIS supply chain,IMS Fire Protection Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Impact Controls,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Control Panels/ BMS,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Infrastructure Site Services Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Scaffolding,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Inglecray Insulation Co Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fabrication,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Insul Eight Contracts Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Insulation,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Integrated Network Systems Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,J W Hinchliffe (Tanks) Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,J3 Building Solutions NE Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,JD Power Systems T/A Quinteq Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,JDEL Property Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,JHM Butt & Co Ltd t/a Butts of Bawtry,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,JLA Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,JR Electrical,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
